Aufnahme,Wetter,Date,Time
31052016_10,bewölkt,2016.05.31,14:24
31052016_9,bewölkt,2016.05.31,14:18
02062016_1,bewölkt,2016.06.02,12:51
02062016_2,bewölkt,2016.06.02,13:07
06062016_1,leicht wolkig,2016.06.06,14:10
06062016_3,leicht wolkig,2016.06.06,14:22
07062016_11,blauer Himmel,2016.06.07,14:53
07062016_13,blauer Himmel,2016.06.07,16:04
07062016_4,blauer Himmel,2016.06.07,14:20
07062016_5,blauer Himmel,2016.06.07,14:32
20062016_1,blauer Himmel,2016.06.20,13:17
20062016_3,blauer Himmel,2016.06.20,13:33
20062016_6,blauer Himmel,2016.06.20,14:01
20062016_8,blauer Himmel,2016.06.20,14:24
20062016_9,blauer Himmel,2016.06.20,14:52
21062016_2,bewölkt,2016.06.21,14:40
22062016_1,leicht wolkig,2016.06.22,13:54
22062016_2,leicht wolkig,2016.06.22,14:11
27060216_3,bewölkt,2016.06.27,NA
29062016_1,leicht wolkig,2016.06.29,13:58
29062016_2,leicht wolkig,2016.06.29,14:12
01072016_3,bewölkt,2016.07.01,13:38
01072016_5,bewölkt,2016.07.01,14:49
04072016_1,bewölkt,2016.07.04,NA
05072016_4,bewölkt,2016.07.05,14:01
08072016_2,leicht wolkig,2016.07.08,14:46
11072016_1,leicht wolkig,2016.07.11,13:19
11072016_2,leicht wolkig,2016.07.11,15:41
12072016_1,bewölkt,2016.07.12,13:41
12072016_2,bewölkt,2016.07.12,14:19
12072016_3,bewölkt,2016.07.12,14:43
12072016_9,bewölkt,2016.07.12,16:08
18072016_3,leicht wolkig,2016.07.18,15:10
18072016_4,leicht wolkig,2016.07.18,15:18
19072016_1,blauer Himmel,2016.07.19,12:15
18082016_5_I,blauer Himmel,2016.08.18,16:20
19082016_4_II,blauer Himmel,2016.08.19,16:20
01092016_1,leicht wolkig,2016.09.01,13:19
31082016_2,blauer Himmel,2016.08.31,15:20
06092016_1,blauer Himmel,2016.09.06,14:19
07092016_1,blauer Himmel,2016.09.07,14:55
08092016_4,blauer Himmel,2016.09.08,15:01
12092016_3,blauer Himmel,2016.09.12,14:41
12092016_4,blauer Himmel,2016.09.12,14:54
13092016_2,blauer Himmel,2016.09.13,14:11
13092016_4,blauer Himmel,2016.09.13,14:35
13092016_6,blauer Himmel,2016.09.13,16:11
14092016_9,blauer Himmel,2016.09.14,16:54
31052016_10,bewölkt,2016.05.31,14:24
31052016_9,bewölkt,2016.05.31,14:18
02062016_1,bewölkt,2016.06.02,12:51
02062016_2,bewölkt,2016.06.02,13:07
06062016_1,leicht wolkig,2016.06.06,14:10
06062016_3,leicht wolkig,2016.06.06,14:22
07062016_11,blauer Himmel,2016.06.07,16:04
07062016_13,blauer Himmel,2016.06.07,NA
07062016_4,blauer Himmel,2016.06.07,14:20
07062016_5,blauer Himmel,2016.06.07,14:32
20062016_1,blauer Himmel,2016.06.20,13:17
20062016_3,blauer Himmel,2016.06.20,13:33
20062016_6,blauer Himmel,2016.06.20,14:01
20062016_8,blauer Himmel,2016.06.20,14:24
20062016_9,blauer Himmel,2016.06.20,14:52
21062016_2,bewölkt,2016.06.21,14:40
22062016_1,leicht wolkig,2016.06.22,13:54
22062016_2,leicht wolkig,2016.06.22,14:11
27060216_3,bewölkt,2016.06.27,NA
29062016_1,leicht wolkig,2016.06.29,13:58
29062016_2,leicht wolkig,2016.06.29,14:12
01072016_3,bewölkt,2016.07.01,13:38
01072016_5,bewölkt,2016.07.01,14:49
04072016_1,bewölkt,2016.07.04,NA
05072016_4,bewölkt,2016.07.05,14:01
08072016_2,leicht wolkig,2016.07.08,14:46
11072016_1,leicht wolkig,2016.07.11,13:19
11072016_2,leicht wolkig,2016.07.11,15:41
12072016_1,bewölkt,2016.07.12,13:41
12072016_2,bewölkt,2016.07.12,14:19
12072016_3,bewölkt,2016.07.12,14:43
12072016_9,bewölkt,2016.07.12,16:08
18072016_3,leicht wolkig,2016.07.18,15:10
18072016_4,leicht wolkig,2016.07.18,15:18
19072016_1,blauer Himmel,2016.07.19,12:15
18082016_5_I,blauer Himmel,2016.08.18,16:20
19082016_4_II,blauer Himmel,2016.08.19,14:51
01092016_1,leicht wolkig,2016.09.01,13:19
31082016_2,blauer Himmel,2016.08.31,15:20
06092016_1,blauer Himmel,2016.09.06,14:19
07092016_1,blauer Himmel,2016.09.07,14:55
08092016_4,blauer Himmel,2016.09.08,15:01
12092016_3,blauer Himmel,2016.09.12,14:41
13092016_2,blauer Himmel,2016.09.13,14:11
13092016_4,blauer Himmel,2016.09.13,14:35
13092016_6,blauer Himmel,2016.09.13,16:11
14092016_9,blauer Himmel,2016.09.14,16:54
