xx, intensity,     nn, accuracy, wavelength
-31.208,  2.15e+09, 13.010,     0.14, 354
-20.263,  3.69e+09, 14.249,     0.15, 535
-8.217,  6.67e+09, 19.135,     0.20, 354
-1.342,  9.36e+09, 15.350,     0.16, 535
15.118,  2.10e+10, 30.769,     0.33, 354
24.548,  3.35e+10, 14.731,     0.16, 535
32.671,  4.99e+10, 70.349,     0.74, 354
45.199,  9.25e+10, 37.928,     0.40, 535
42.996,  8.30e+10, 10.463,     0.11, 429
61.994,  2.12e+11, 75.030,     0.79, 354
69.360,  3.04e+11, 70.349,     0.74, 535
71.254,  3.34e+11, 48.460,     0.51, 429
96.412,  1.15e+12, 85.355,     0.90, 535
95.448,  1.10e+12, 72.208,     0.76, 429
104.741,  1.74e+12, 78.059,     0.83, 354
118.026,  3.34e+12, 80.468,     0.85, 429
120.986,  3.86e+12, 89.657,     0.95, 535
141.233,  1.05e+13, 90.189,     0.95, 535
141.352,  1.05e+13, 83.978,     0.89, 429
165.252,  3.41e+13, 91.722,     0.97, 535
