"bearing","run","date","angle","ID","brightn","colour","cet_time","sun_az","sun_az_rad","signed_angle"
235,1,"2016.05.31",-2.18166156499291,"2016.05.31.14.53","l","u","2016-05-31 14:53:00",219.911359401566,-2.44500802308567,-125
185,2,"2016.05.31",-3.05432619099008,"2016.05.31.14.53","l","u","2016-05-31 14:53:00",219.911359401566,-2.44500802308567,-175
100,3,"2016.05.31",1.74532925199433,"2016.05.31.14.53","l","u","2016-05-31 14:53:00",219.911359401566,-2.44500802308567,100
140,4,"2016.05.31",2.44346095279206,"2016.05.31.14.53","l","u","2016-05-31 14:53:00",219.911359401566,-2.44500802308567,140
90,5,"2016.05.31",1.5707963267949,"2016.05.31.14.53","l","u","2016-05-31 14:53:00",219.911359401566,-2.44500802308567,90
190,6,"2016.05.31",-2.96705972839036,"2016.05.31.14.53","l","u","2016-05-31 14:53:00",219.911359401566,-2.44500802308567,-170
175,7,"2016.05.31",3.05432619099008,"2016.05.31.14.53","l","u","2016-05-31 14:53:00",219.911359401566,-2.44500802308567,175
250,8,"2016.05.31",-1.91986217719376,"2016.05.31.14.53","l","u","2016-05-31 14:53:00",219.911359401566,-2.44500802308567,-110
130,9,"2016.05.31",2.26892802759263,"2016.05.31.14.53","l","u","2016-05-31 14:53:00",219.911359401566,-2.44500802308567,130
160,10,"2016.05.31",2.79252680319093,"2016.05.31.14.53","l","u","2016-05-31 14:53:00",219.911359401566,-2.44500802308567,160
15,11,"2016.05.31",0.261799387799149,"2016.05.31.14.53","h","u","2016-05-31 14:53:00",219.911359401566,-2.44500802308567,15
45,12,"2016.05.31",0.785398163397448,"2016.05.31.14.53","h","u","2016-05-31 14:53:00",219.911359401566,-2.44500802308567,45
15,13,"2016.05.31",0.261799387799149,"2016.05.31.14.53","h","u","2016-05-31 14:53:00",219.911359401566,-2.44500802308567,15
20,14,"2016.05.31",0.349065850398866,"2016.05.31.14.53","h","u","2016-05-31 14:53:00",219.911359401566,-2.44500802308567,20
40,15,"2016.05.31",0.698131700797732,"2016.05.31.14.53","h","u","2016-05-31 14:53:00",219.911359401566,-2.44500802308567,40
