bee,light_type,bearing,run,date
2016.05.31.14.24,ul,270,1,2016.05.31
2016.05.31.14.24,ul,5,2,2016.05.31
2016.05.31.14.24,ul,20,3,2016.05.31
2016.05.31.14.24,ul,320,4,2016.05.31
2016.05.31.14.24,ul,20,5,2016.05.31
2016.05.31.14.24,ul,35,6,2016.05.31
2016.05.31.14.24,ul,10,7,2016.05.31
2016.05.31.14.24,uh,345,8,2016.05.31
2016.05.31.14.24,uh,340,9,2016.05.31
2016.05.31.14.24,uh,340,10,2016.05.31
2016.05.31.14.24,uh,340,11,2016.05.31
2016.05.31.14.24,uh,330,12,2016.05.31
2016.05.31.14.24,uh,350,13,2016.05.31
2016.05.31.14.24,uh,325,14,2016.05.31
2016.05.31.14.24,uh,335,15,2016.05.31
2016.05.31.14.24,uh,330,16,2016.05.31
2016.05.31.14.24,uh,320,17,2016.05.31
2016.05.31.14.24,uh,325,18,2016.05.31
2016.05.31.14.24,uh,325,19,2016.05.31
2016.05.31.14.24,uh,355,20,2016.05.31
2016.05.31.14.24,uh,340,21,2016.05.31
2016.05.31.14.24,gh,345,22,2016.05.31
2016.05.31.14.24,gh,345,23,2016.05.31
2016.05.31.14.24,gh,325,24,2016.05.31
2016.05.31.14.24,gh,350,25,2016.05.31
2016.05.31.14.24,gh,345,26,2016.05.31
2016.05.31.14.24,gh,355,27,2016.05.31
2016.05.31.14.53,ul,235,1,2016.05.31
2016.05.31.14.53,ul,185,2,2016.05.31
2016.05.31.14.53,ul,100,3,2016.05.31
2016.05.31.14.53,ul,140,4,2016.05.31
2016.05.31.14.53,ul,90,5,2016.05.31
2016.05.31.14.53,ul,190,6,2016.05.31
2016.05.31.14.53,ul,175,7,2016.05.31
2016.05.31.14.53,ul,250,8,2016.05.31
2016.05.31.14.53,ul,130,9,2016.05.31
2016.05.31.14.53,ul,160,10,2016.05.31
2016.05.31.14.53,uh,15,11,2016.05.31
2016.05.31.14.53,uh,45,12,2016.05.31
2016.05.31.14.53,uh,15,13,2016.05.31
2016.05.31.14.53,uh,20,14,2016.05.31
2016.05.31.14.53,uh,40,15,2016.05.31
2016.05.31.14.53,uh,20,16,2016.05.31
2016.05.31.14.53,uh,10,17,2016.05.31
2016.05.31.14.53,uh,50,18,2016.05.31
2016.05.31.14.53,uh,10,19,2016.05.31
2016.05.31.14.53,uh,40,20,2016.05.31
2016.05.31.14.53,uh,40,21,2016.05.31
2016.05.31.14.53,uh,50,22,2016.05.31
2016.05.31.14.53,uh,50,23,2016.05.31
2016.05.31.14.53,gl,10,24,2016.05.31
2016.05.31.14.53,gl,40,25,2016.05.31
2016.05.31.14.53,gl,35,26,2016.05.31
2016.05.31.14.53,gl,20,27,2016.05.31
2016.05.31.14.53,gl,30,28,2016.05.31
2016.05.31.14.53,gl,40,29,2016.05.31
2016.05.31.14.53,gl,20,30,2016.05.31
2016.05.31.14.53,gl,25,31,2016.05.31
2016.05.31.14.53,gl,20,32,2016.05.31
2016.05.31.14.53,gl,40,33,2016.05.31
2016.05.31.14.53,gh,20,34,2016.05.31
2016.05.31.14.53,gh,20,35,2016.05.31
2016.05.31.14.57,ul,200,1,2016.05.31
2016.05.31.14.57,ul,140,2,2016.05.31
2016.05.31.14.57,ul,220,3,2016.05.31
2016.05.31.14.57,ul,150,4,2016.05.31
2016.05.31.14.57,ul,170,5,2016.05.31
2016.05.31.14.57,ul,100,6,2016.05.31
2016.05.31.14.57,ul,155,7,2016.05.31
2016.05.31.14.57,ul,90,8,2016.05.31
2016.05.31.14.57,ul,155,9,2016.05.31
2016.05.31.14.57,uh,355,10,2016.05.31
2016.05.31.14.57,uh,40,11,2016.05.31
2016.05.31.14.57,uh,70,12,2016.05.31
2016.05.31.14.57,uh,30,13,2016.05.31
2016.05.31.14.57,uh,70,14,2016.05.31
2016.05.31.14.57,uh,25,15,2016.05.31
2016.05.31.14.57,uh,20,16,2016.05.31
2016.05.31.14.57,uh,30,17,2016.05.31
2016.05.31.14.57,uh,30,18,2016.05.31
2016.05.31.14.57,uh,70,19,2016.05.31
2016.05.31.14.57,uh,60,20,2016.05.31
2016.05.31.14.57,uh,40,21,2016.05.31
2016.05.31.14.57,uh,60,22,2016.05.31
2016.05.31.14.57,uh,40,23,2016.05.31
2016.05.31.15.14,ul,100,1,2016.05.31
2016.05.31.15.14,ul,110,2,2016.05.31
2016.05.31.15.14,ul,140,3,2016.05.31
2016.05.31.15.14,ul,110,4,2016.05.31
2016.05.31.15.14,ul,140,5,2016.05.31
2016.05.31.15.14,ul,130,6,2016.05.31
